,COMPOUND_ID,SOURCES,PCT_IHB_3D7,PCT_INHB_DD2,PCT_INHIB_3D7_PFLDH,pXC50_3D7,SMILES
0,541908,"TCMDC-135431, 641908 (CHEMBL)",94.0,24.0,0.0,6.09857,COc1ccc(c(c1)OC)C2CCN(CC2)CCN3CCC(CC3)NC(=O)c4cccc(c4)c5ccncc5
1,538495,"TCMDC-135971, 638495 (CHEMBL)",100.0,60.0,3.0,6.00393,C[C@H](c1ccccc1Cl)Oc2cc(sc2C(=O)N)n3cnc4c3cc(cc4)NC(=O)CCN5CCCCC5
2,538533,"TCMDC-140507, 638533 (CHEMBL)",100.0,74.0,3.0,6.79958,COc1ccc2c(c1)c(ccn2)[C@H](CN3CCC(CC3)NCCOc4cccc(c4)C(F)(F)F)O.C(=O)(C(=O)O)O
3,538571,"TCMDC-136654, 638571 (CHEMBL)",91.0,4.0,0.0,5.96201,COc1ccc(cc1)N(c2nc(cs2)c3cc(ccc3Cl)Cl)C4CCNCC4.C(=O)(C(F)(F)F)O
4,538605,"TCMDC-141576, 638605 (CHEMBL)",99.0,95.0,0.0,6.44885,CCN1CCN(C(=O)C1=O)C(=O)NC(c2cccs2)C(=O)N(C)Cc3ccc(cc3)c4ccc(cc4)C(F)(F)F
5,541526,"TCMDC-124070, 641526 (CHEMBL), COMMERCIAL",99.0,98.0,1.0,6.12396,CCOC(=O)c1c2ccc(c(c2sc1NC(=O)c3ccccc3)O)CNC4CCCCC4
6,541532,"TCMDC-140965, 641532 (CHEMBL)",97.0,76.0,0.0,6.09866,Cc1c(c2ccccc2[nH]1)C3=CCN(CC3)CCN4CCOc5c(cccc5Br)C4=O
7,538721,"TCMDC-123885, 638721 (CHEMBL), COMMERCIAL",95.0,90.0,0.0,6.1111,c1ccnc(c1)c2csc(n2)Nc3ccc(cn3)Cl
8,538723,"TCMDC-124426, 638723 (CHEMBL), COMMERCIAL",98.0,10.0,0.0,6.12581,c1ccc(cc1)OCCn2cc(c3c2cccc3)C(=O)c4ccco4
9,538726,"TCMDC-136429, 638726 (CHEMBL)",89.0,5.0,0.0,6.06405,Cc1ccccc1CN2CCCN(CC2)Cc3ccc(cc3)C(=O)Nc4ccc(cc4)C(C)(C)C.C(=O)(C(F)(F)F)O
10,538727,"TCMDC-124190, 638727 (CHEMBL), COMMERCIAL",87.0,23.0,6.0,6.03322,Cc1c(c2ccccc2[nH]1)C=NNc3nc(nc(n3)Nc4ccccc4)Nc5ccccc5
11,538729,"TCMDC-142210, 638729 (CHEMBL)",95.0,97.0,0.0,6.22981,CC(C)(C)CC(C)(C)c1ccc(c(c1)C(=O)Nc2cccc(c2)N(=O)=O)O
